comparison,reference,target,measurement,key,reference_mean,target_mean,bias_target_minus_reference,n,mae,mae_std,sd,loa_low,loa_high,pearson,icc,msl_tier_discordance_n,msl_tier_discordance_pct,msl_critical_discordance_n,dcirc_bin_discordance_n,dcirc_bin_discordance_pct,dlz_any_discordance_n,dlz_any_discordance_pct
Reader1_vs_Reader2,Reader1,Reader2,MSL,msl_mm,4.179543985806998,5.189349073359545,1.009805087552548,30,2.2577228091333916,2.135047471841509,2.984606183890921,-4.840023032873658,6.859633207978753,0.5291412105544852,0.4104348532064902,13,43.333333,2,,,,
Reader1_vs_Reader2,Reader1,Reader2,Annular D_circ 3-hinge,d_circ_mm,22.793391405133143,23.217717450637643,0.42432604550450015,30,0.8145928582586899,0.7739703112506597,1.0558280652259895,-1.645096962338439,2.4937490533474396,0.8434343723493315,0.8257419885558014,,,,4,13.333333,,
Reader1_vs_Reader2,Reader1,Reader2,Annular area circ from P0-P2,annular_area_circ_mm2,410.8559404396416,425.66290710140856,14.806966661766996,30,28.51109021343076,27.004809601265762,36.911671305952865,-57.53990909790062,87.1538424214346,0.8413915806125206,0.8266701904085161,,,,,,,
Reader1_vs_Reader2,Reader1,Reader2,C-arm LAO/RAO,carm_lao_rao_deg,-53.72792215205291,-53.420476602067865,0.3074455499850437,30,4.173080878009198,3.6713737945973017,5.652763825870453,-10.771971548721044,11.386862648691132,0.8967125013959951,0.9009861135821389,,,,,,,
Reader1_vs_Reader2,Reader1,Reader2,C-arm CRA/CAU,carm_cra_cau_deg,-38.28143048139631,-38.51547484556159,-0.2340443641652783,30,2.8495901674685733,2.547887650645328,3.8852041553809515,-7.849044508711943,7.380955780381386,0.8975249862129814,0.9004564577709007,,,,,,,
Reader1_vs_Reader2,Reader1,Reader2,DLZ calc NCC,dlz_ncc_mm3,32.01692409857606,34.682828405644145,2.6659043070680735,30,3.7870180987933555,11.651397756027592,11.977972588424642,-20.810921966244223,26.142730580380373,0.9998312860034029,0.9952768872648023,,,,,,,
Reader1_vs_Reader2,Reader1,Reader2,DLZ calc LCC,dlz_lcc_mm3,28.28856893074483,31.554138754317066,3.2655698235722346,30,3.956488788240141,9.855563229668048,10.121987995617209,-16.573526647837493,23.104666294981964,0.9996788903193727,0.9948886206696274,,,,,,,
Reader1_vs_Reader2,Reader1,Reader2,DLZ calc RCC,dlz_rcc_mm3,29.820323239206267,38.59369046980181,8.773367230595545,30,10.45503791818347,34.57566194184845,35.07089914794419,-59.96559509937506,77.51232956056614,0.9981890627566371,0.9421299651798322,,,,,,,
Reader1_vs_Reader2,Reader1,Reader2,DLZ calc total,dlz_total_mm3,90.12581626852716,104.83065762976301,14.704841361235857,30,18.172472391455916,55.593507902694775,56.676670160746404,-96.38143215382709,125.79111487629882,0.9998230574239434,0.984824826717583,,,,,,0,0.0
Reader1_vs_Reader2,Reader1,Reader2,Annular plane normal angle,plane_normal_angle_deg,,,,30,3.1786976179373214,1.9360958053840052,,,,,,,,,,,,
TRUST_vs_Reader1,Reader1,TRUST,MSL,msl_mm,4.179543985806998,4.626998504513667,0.4474545187066705,30,1.5078622637847803,1.2387019864912023,1.9354701088507509,-3.346066894640801,4.240975932054142,0.3941284051326094,0.3962967208971284,15,50.0,0,,,,
TRUST_vs_Reader1,Reader1,TRUST,Annular D_circ 3-hinge,d_circ_mm,22.793391405133143,22.945041605143253,0.15165020001011276,30,1.0256360330505598,0.6273021769307939,1.221079417122108,-2.241665457549219,2.5449658575694443,0.782435725043187,0.7782769776242727,,,,9,30.0,,
TRUST_vs_Reader1,Reader1,TRUST,Annular area circ from P0-P2,annular_area_circ_mm2,410.8559404396416,415.45134202950373,4.595401589862107,30,37.18254404331577,23.676264454304754,44.863693063789555,-83.33743681516542,92.52823999488963,0.7532315595786981,0.7555477196118658,,,,,,,
TRUST_vs_Reader1,Reader1,TRUST,C-arm LAO/RAO,carm_lao_rao_deg,-53.72792215205291,-49.43411308291226,4.2938090691406465,30,6.4667031246454485,4.933217512125665,7.019747255707459,-9.464895552045974,18.052513690327267,0.8166829699447791,0.7680926679322635,,,,,,,
TRUST_vs_Reader1,Reader1,TRUST,C-arm CRA/CAU,carm_cra_cau_deg,-38.28143048139631,-36.338449771896066,1.942980709500242,30,4.6737575888792815,3.0112479954701943,5.323630294872192,-8.491334668449253,12.377296087449738,0.79789294758643,0.7507489028482143,,,,,,,
TRUST_vs_Reader1,Reader1,TRUST,DLZ calc NCC,dlz_ncc_mm3,32.01692409857606,36.253691334747835,4.236767236171764,30,5.6055689586270505,18.758517372769173,19.137720028171312,-33.273164019044,41.746698491387534,0.9997854660174054,0.9886650226437946,,,,,,,
TRUST_vs_Reader1,Reader1,TRUST,DLZ calc LCC,dlz_lcc_mm3,28.28856893074483,34.402549957712615,6.113981026967786,30,8.09548447280782,24.32109513290284,24.930881391796344,-42.75054650095305,54.97850855488862,0.9994732374441043,0.9744603102154764,,,,,,,
TRUST_vs_Reader1,Reader1,TRUST,DLZ calc RCC,dlz_rcc_mm3,29.820323239206267,33.203218924703776,3.382895685497509,30,12.990580156445567,26.25993271056727,29.281097455259527,-54.00805532681116,60.77384669780618,0.9883886124552466,0.9573389045611811,,,,,,,
TRUST_vs_Reader1,Reader1,TRUST,DLZ calc total,dlz_total_mm3,90.12581626852716,103.85946021716421,13.73364394863706,30,25.766062899363057,67.81983844703981,71.45972742011391,-126.3274217947862,153.7947096920603,0.998973667884822,0.9776149135904029,,,,,,0,0.0
TRUST_vs_Reader1,Reader1,TRUST,Annular plane normal angle,plane_normal_angle_deg,,,,30,4.3146164690494775,2.9369907539422853,,,,,,,,,,,,
TRUST_vs_Reader2,Reader2,TRUST,MSL,msl_mm,5.189349073359545,4.626998504513667,-0.5623505688458773,30,2.245423785848602,1.7134367292718955,2.82428773829962,-6.097954535913133,4.973253398221378,0.6041359471142725,0.48994768713150716,15,50.0,0,,,,
TRUST_vs_Reader2,Reader2,TRUST,Annular D_circ 3-hinge,d_circ_mm,23.217717450637643,22.945041605143253,-0.2726758454943874,30,1.2502202311170603,0.847938162948581,1.5188627999487485,-3.2496469333939344,2.7042952424051596,0.6014516116652481,0.6070364845880256,,,,9,30.0,,
TRUST_vs_Reader2,Reader2,TRUST,Annular area circ from P0-P2,annular_area_circ_mm2,425.66290710140856,415.45134202950373,-10.21156507190489,30,46.31925241743892,32.57819627755567,56.90883728863611,-121.75288615763165,101.32975601382188,0.562563817418795,0.5683246925243691,,,,,,,
TRUST_vs_Reader2,Reader2,TRUST,C-arm LAO/RAO,carm_lao_rao_deg,-53.420476602067865,-49.43411308291226,3.9863635191555957,30,6.533812507391861,4.229937330139222,6.817523184910639,-9.375981923269258,17.34870896158045,0.8435938174129524,0.7970622824003314,,,,,,,
TRUST_vs_Reader2,Reader2,TRUST,C-arm CRA/CAU,carm_cra_cau_deg,-38.51547484556159,-36.338449771896066,2.177025073665522,30,3.7325628875571653,3.1602977766061624,4.4489222002903075,-6.54286243890348,10.896912586234524,0.8384041280430162,0.7924418684481873,,,,,,,
TRUST_vs_Reader2,Reader2,TRUST,DLZ calc NCC,dlz_ncc_mm3,34.682828405644145,36.253691334747835,1.5708629291036909,30,2.32696292817423,7.050445418017797,7.269965827153805,-12.678270092117767,15.819995950325147,0.9999684750188115,0.9985034559838564,,,,,,,
TRUST_vs_Reader2,Reader2,TRUST,DLZ calc LCC,dlz_lcc_mm3,31.554138754317066,34.402549957712615,2.8484112033955515,30,6.120499130407712,14.562496914454552,15.600315717530743,-27.7282076029647,33.42503000975581,0.9991718659006749,0.9910063055300455,,,,,,,
TRUST_vs_Reader2,Reader2,TRUST,DLZ calc RCC,dlz_rcc_mm3,38.59369046980181,33.203218924703776,-5.390471545098036,30,8.740776713393355,14.238713045732087,15.91355427128862,-36.58103791682373,25.800094826627657,0.993539214973948,0.9898245993659518,,,,,,,
TRUST_vs_Reader2,Reader2,TRUST,DLZ calc total,dlz_total_mm3,104.83065762976301,103.85946021716421,-0.9711974125987934,30,11.28283705509615,16.6830080192459,20.325006519252977,-40.80821019033463,38.865815365137045,0.9991114258129714,0.9985010852246485,,,,,,0,0.0
TRUST_vs_Reader2,Reader2,TRUST,Annular plane normal angle,plane_normal_angle_deg,,,,30,4.568775986300311,2.2583888057523325,,,,,,,,,,,,
