comparison,cases,landmarks,n,mean,std,median,q1,q3,min,max,sdr_2_0,sdr_2_5,sdr_3_0,sdr_4_0,outliers_gt_10mm
Reader1_vs_Reader2,30,P0-P7,240,1.8693074423361484,1.7981267730116086,1.2799678972453599,0.8843632924553372,2.23057526531007,0.15878646707447552,13.683116280578732,70.416667,81.666667,87.083333,89.583333,2
TRUST_vs_Reader1,30,P0-P7,240,2.1997001933116174,1.0903346649041405,2.038739048155425,1.4042445890866961,2.783744255588477,0.37741262993676344,6.223701147118154,46.666667,67.916667,78.333333,94.583333,0
TRUST_vs_Reader2,30,P0-P7,240,2.4694108313909866,1.713727239122592,2.2055304905153092,1.3397485667925793,3.003199314491607,0.2261160503755503,12.5341839134077,43.333333,59.583333,75.416667,88.75,4
