cid,corrupted_dice,corrupted_gt,corrupted_sharp,corrupted_mae,unet_dice,unet_gt,unet_sharp,unet_mae,ttunet_dice,ttunet_gt,ttunet_sharp,ttunet_mae,diff_mean_dice,diff_mean_gt,diff_mean_sharp,diff_mean_mae,diff_sample_dice,diff_sample_gt,diff_sample_sharp,diff_sample_mae,clean_gt
21,0.4916518650106868,0.32139577594226904,29.82091522216797,72.68001556396484,0.5750822067973143,0.32280049566399815,28.16366958618164,42.18349838256836,0.5844915874192228,0.3334883000165295,28.73804473876953,44.77873992919922,0.567424242425881,0.31168422708081195,32.874351501464844,44.091007232666016,0.5423076923094526,0.3006804874200021,42.42777633666992,49.74794006347656,0.4042331196908567
32,0.6987649901562578,0.5437142523642537,28.197175979614258,68.75030517578125,0.7794331395352845,0.5108439415375874,27.973812103271484,45.61328125,0.7288329519455972,0.5155642023352194,31.05190658569336,54.893821716308594,0.7813565744604369,0.5153790263992305,32.42543029785156,47.36426544189453,0.7102025364381787,0.49546169672093004,42.18788528442383,52.742183685302734,0.5206099594954483
41,0.4703590314515158,0.4283276450518913,57.444950103759766,103.56309509277344,0.546391752578695,0.4137059046663122,53.82184982299805,62.4827995300293,0.4987908101587098,0.4129309256226633,57.2370491027832,62.110172271728516,0.5407854984908134,0.4075243024878077,57.73725509643555,64.64578247070312,0.5382972230712899,0.39934077079183655,66.87354278564453,70.5160903930664,0.32825354012228153
50,0.6073961499503359,0.41178558750513333,35.693077087402344,80.96519470214844,0.7138228941692392,0.39941513342341967,34.02560043334961,48.78957748413086,0.6725380304252134,0.38715151515225793,34.29783248901367,51.12546920776367,0.6985253959593158,0.3973055725665679,38.72002410888672,51.5377082824707,0.6666666666675957,0.38857990359734446,48.29375457763672,58.12158966064453,0.4149668074841098
51,0.5974148061114044,0.42748478701898135,32.29330062866211,78.97309875488281,0.6640567653543821,0.4409326424877708,29.492633819580078,45.37530517578125,0.6434050977489646,0.4281991138918058,31.177474975585938,47.744422912597656,0.6631840796028279,0.4278060891161273,34.9398078918457,47.80146026611328,0.641557128413444,0.41612860719539313,45.45530319213867,54.51585388183594,0.5086544535697932
53,0.5900173826680158,0.3827708703381629,48.08285903930664,109.79289245605469,0.6740858505573024,0.37624214734508704,43.7757453918457,69.80561065673828,0.6774530271407164,0.3794394644282543,48.24480438232422,73.26055908203125,0.6565575951059948,0.3704805491998049,48.61705780029297,72.45832824707031,0.6514131897721361,0.3654553817854583,59.00812530517578,78.45780181884766,0.42322901367142324
54,0.5539588616524261,0.30680772769168946,26.338558197021484,65.37841796875,0.6361294016615054,0.3090277777785775,24.857837677001953,37.371620178222656,0.6156111929319128,0.300398033248302,25.97993278503418,40.84962844848633,0.6138905238386878,0.29397308367548974,29.18839454650879,39.96189880371094,0.5944477972251223,0.28223614230081284,38.13959884643555,45.74150466918945,0.3952095808390066
61,0.6470891293156953,0.42961779198371336,25.549184799194336,54.94527816772461,0.6848310191257929,0.42880171950640944,24.210834503173828,35.76799774169922,0.6999195494778763,0.4265905383368317,25.2314453125,37.04444122314453,0.6778559826754795,0.4138778855355636,28.776885986328125,38.065528869628906,0.6836791923732931,0.40539413318586764,37.58296203613281,43.517826080322266,0.5043086305190185
68,0.6495157384998501,0.453881278539644,26.311037063598633,50.676517486572266,0.7533520424080032,0.4356558010204918,27.581811904907227,29.957794189453125,0.7282150955629147,0.4180702030545914,28.070171356201172,30.71624755859375,0.743712193569743,0.42110191977614936,31.684507369995117,31.757638931274414,0.7243486651665347,0.4141176470597426,40.132164001464844,37.958740234375,0.4861027190340089
69,0.7498588368157116,0.5387221684418048,27.67231559753418,59.8787727355957,0.8221695317133637,0.5220563847433481,29.816219329833984,35.120033264160156,0.8266225961541066,0.5121991978613701,29.221702575683594,34.734622955322266,0.8144406477494956,0.5106700988129945,34.50322723388672,37.3740348815918,0.777362998357806,0.5079523690569506,43.89508819580078,43.87841796875,0.5578552803132677
