[FUSE — BEST 30 metrics only],,,,,,,,,,
P0(LH),P1(RH),P2(NH),P3(LC),P4(RC),P5(NC),P6(Cen),P7(MS),P8(LCO),P9(RCO),mean
2.096,0.592,1.290,0.715,1.551,2.816,2.503,5.434,1.451,6.430,2.488
1.129,4.900,2.230,3.173,3.917,1.277,2.613,0.735,1.730,1.068,2.277
2.658,1.349,0.711,4.686,1.438,1.699,2.088,4.983,3.335,0.640,2.359
2.014,3.026,3.255,2.058,2.794,1.434,1.413,1.119,1.046,4.469,2.263
4.631,2.405,1.143,1.007,1.236,0.494,1.339,0.750,1.568,0.958,1.553
1.648,3.460,3.484,2.312,2.331,2.971,0.949,2.287,6.656,1.191,2.729
1.013,4.007,1.520,1.120,0.739,2.051,0.761,6.241,3.114,1.140,2.171
4.832,2.877,1.421,0.540,1.908,2.966,1.187,6.943,4.359,1.704,2.874
3.184,1.812,2.747,3.018,3.492,1.970,2.887,1.111,2.684,2.917,2.582
3.891,0.874,1.543,1.875,1.976,1.059,0.768,4.528,0.857,1.065,1.844
1.729,3.411,2.636,3.041,2.092,3.795,1.431,5.088,1.851,2.729,2.780
0.494,1.516,3.125,3.368,3.267,0.920,1.857,5.127,3.753,2.309,2.574
3.387,2.127,2.431,2.142,2.914,1.311,1.564,1.793,4.126,1.703,2.350
2.026,3.306,1.356,1.688,1.762,3.378,0.877,1.404,4.862,2.565,2.322
1.262,4.523,2.493,1.485,2.841,1.636,2.804,4.895,6.749,1.684,3.037
1.973,1.687,2.939,1.196,3.187,0.846,0.776,8.052,3.126,2.183,2.596
1.060,2.237,3.525,2.140,2.566,1.637,2.619,2.240,0.855,3.501,2.238
2.886,2.675,1.431,1.758,3.309,1.653,0.753,2.880,2.044,3.945,2.333
1.201,1.341,1.062,1.613,1.056,2.041,2.542,5.091,3.387,3.707,2.304
3.611,3.262,2.916,1.592,0.586,4.930,2.296,1.407,5.719,3.596,2.992
2.090,3.398,1.616,1.885,1.437,3.028,2.612,1.965,1.100,2.434,2.156
0.983,1.683,2.717,1.651,3.260,2.703,2.198,2.435,3.440,2.148,2.322
1.667,1.847,2.182,0.720,3.218,4.761,1.219,3.824,4.391,4.571,2.840
2.936,3.705,3.449,0.865,3.374,2.037,2.457,3.984,0.204,4.456,2.747
2.809,4.022,2.095,3.418,4.589,1.798,2.143,1.526,3.603,2.918,2.892
3.607,3.444,0.287,3.692,2.372,1.427,1.535,7.040,0.410,1.596,2.541
2.441,1.377,1.298,2.302,2.317,2.885,1.227,2.927,3.927,3.356,2.406
2.500,2.560,2.104,2.140,2.361,2.100,1.750,3.491,2.876,2.533,2.441
